job_id,usr_name,job_name,account,group,partition_name,host_name,priority,qos,work_dir,submit_line,nodes_req,cpu_req,gpu_req,mem_req,num_cpu,cpu_alloc,gpu_alloc,mem_alloc,nodelist,node_count,wallclock_req,node_alloc,mem_per_node,mem_per_cpu,ntask,slots,array_job_id,array_pos,freq_req,submit_time,start_time,eligible_time,queue_sec,wait_to_start_sec,submit_dayofweek,submit_month,submit_hour,start_dayofweek,start_month,start_hour,start_year,status
400000,user045,gaussian_sim_9956,acct05,group05,short,Hengicluster2025,3,normal,/home/user045/gaussian_runs,sbatch gaussian_19.sbatch,2,32,0,32768,32,32,0,32768,"n9,n45",2,1800,2,16384,1024,16,32,60398,1392,0,1763270555,1763272235,1763271652,1097,583,6,11,5,6,11,5,2025,COMPLETED
400001,user060,tensorflow_sim_3146,acct10,group05,gpuq,Hengicluster2025,4,normal,/home/user060/tensorflow_runs,sbatch tensorflow_10.sbatch,2,16,2,65536,16,16,2,65536,"n43,n56",2,1200,2,32768,4096,8,16,60662,251,3,1763271583,1763276863,1763275064,3481,1799,6,11,5,6,11,7,2025,TIMEOUT
400002,user085,vasp_sim_8718,acct05,group05,workq,Hengicluster2025,5,high,/home/user085/vasp_runs,sbatch vasp_36.sbatch,1,4,0,8192,4,4,0,8192,n29,1,2700,1,8192,2048,1,4,60406,2003,0,1763301769,1763303569,1763303197,1428,372,6,11,14,6,11,14,2025,COMPLETED
400003,user029,weka_sim_1191,acct09,group04,long,Hengicluster2025,3,normal,/home/user029/weka_runs,sbatch weka_24.sbatch,1,48,0,8192,48,48,0,8192,n44,1,2700,1,8192,171,48,48,0,0,0,1763269215,1763274135,1763270416,1201,3719,6,11,5,6,11,6,2025,NODE_FAIL
400004,user035,nek5000_sim_3301,acct05,group05,short,Hengicluster2025,5,high,/home/user035/nek5000_runs,sbatch nek5000_19.sbatch,1,16,0,98304,16,16,0,98304,n58,1,7200,1,98304,6144,16,16,60990,192,0,1763320015,1763321515,1763321066,1051,449,6,11,19,6,11,19,2025,COMPLETED
400005,user038,linpack_sim_1450,acct08,group03,short,Hengicluster2025,5,scavenger,/home/user038/linpack_runs,sbatch linpack_39.sbatch,1,8,0,4096,8,8,0,4096,n46,1,1200,1,4096,512,8,8,60691,74,0,1763262326,1763263346,1763262491,165,855,6,11,3,6,11,3,2025,COMPLETED
400007,user015,bowtie2_sim_2105,acct05,group05,workq,Hengicluster2025,3,scavenger,/home/user015/bowtie2_runs,sbatch bowtie2_38.sbatch,3,12,0,24576,12,12,0,24576,"n41,n54,n39",3,7200,3,8192,2048,12,12,60923,1094,0,1763304064,1763306704,1763306172,2108,532,6,11,14,6,11,15,2025,NODE_FAIL
400008,user070,quantumespresso_sim_4881,acct10,group05,short,Hengicluster2025,5,normal,/home/user070/quantumespresso_runs,sbatch quantumespresso_47.sbatch,1,2,0,32768,2,2,0,32768,n30,1,1200,1,32768,16384,1,2,60203,1136,0,1763310539,1763311559,1763310834,295,725,6,11,16,6,11,16,2025,COMPLETED
400010,user003,openfoam_sim_1816,acct03,group03,workq,Hengicluster2025,3,high,/home/user003/openfoam_runs,sbatch openfoam_19.sbatch,1,64,0,65536,64,64,0,65536,n59,1,5400,1,65536,1024,64,64,60798,1706,1,1763254217,1763260217,1763258967,4750,1250,6,11,0,6,11,2,2025,COMPLETED
400011,user071,blast_sim_1077,acct01,group01,long,Hengicluster2025,3,normal,/home/user071/blast_runs,sbatch blast_42.sbatch,1,48,0,98304,48,48,0,98304,n1,1,2700,1,98304,2048,12,48,60856,1657,0,1763307653,1763310233,1763309521,1868,712,6,11,15,6,11,16,2025,COMPLETED
400012,user068,wrf_sim_2196,acct08,group03,workq,Hengicluster2025,2,scavenger,/home/user068/wrf_runs,sbatch wrf_12.sbatch,1,12,0,131072,12,12,0,131072,n57,1,10800,1,131072,10923,3,12,60424,1209,0,1763324409,1763325429,1763325041,632,388,6,11,20,6,11,20,2025,COMPLETED
400013,user022,gadget_sim_8723,acct02,group02,gpuq,Hengicluster2025,3,high,/home/user022/gadget_runs,sbatch gadget_30.sbatch,1,8,0,65536,8,8,0,65536,n50,1,600,1,65536,8192,1,8,60039,498,0,1763309852,1763317052,1763313915,4063,3137,6,11,16,6,11,18,2025,COMPLETED
400015,user063,bowtie2_sim_7297,acct03,group03,gpuq,Hengicluster2025,1,high,/home/user063/bowtie2_runs,sbatch bowtie2_27.sbatch,2,4,2,262144,4,4,2,262144,"n33,n20",2,900,2,131072,65536,2,4,60533,688,0,1763309384,1763312324,1763310131,747,2193,6,11,16,6,11,16,2025,COMPLETED
400016,user036,caffe_sim_2350,acct06,group01,workq,Hengicluster2025,2,normal,/home/user036/caffe_runs,sbatch caffe_20.sbatch,4,48,0,262144,48,48,0,262144,"n41,n21,n29,n1",4,10800,4,65536,5461,1,48,0,0,0,1763322358,1763328238,1763322602,244,5636,6,11,19,6,11,21,2025,COMPLETED
400017,user067,lammps_sim_6755,acct07,group02,gpuq,Hengicluster2025,2,normal,/home/user067/lammps_runs,sbatch lammps_18.sbatch,1,2,2,65536,2,2,2,65536,n11,1,900,1,65536,32768,2,2,60361,2010,0,1763317195,1763318575,1763318437,1242,138,6,11,18,6,11,18,2025,TIMEOUT
400019,user002,hpl_sim_36,acct02,group02,workq,Hengicluster2025,5,high,/home/user002/hpl_runs,sbatch hpl_30.sbatch,1,32,0,98304,32,32,0,98304,n27,1,900,1,98304,3072,1,32,0,0,3,1763271193,1763272033,1763271886,693,147,6,11,5,6,11,5,2025,COMPLETED
400020,user072,cp2k_sim_9655,acct02,group02,long,Hengicluster2025,1,high,/home/user072/cp2k_runs,sbatch cp2k_7.sbatch,1,64,0,8192,64,64,0,8192,n4,1,5400,1,8192,128,64,64,0,0,0,1763304078,1763305458,1763305442,1364,16,6,11,14,6,11,15,2025,COMPLETED
400021,user006,pytorch_sim_5759,acct06,group01,workq,Hengicluster2025,3,high,/home/user006/pytorch_runs,sbatch pytorch_39.sbatch,1,64,0,65536,64,64,0,65536,n5,1,3600,1,65536,1024,64,64,0,0,1,1763303728,1763307148,1763305949,2221,1199,6,11,14,6,11,15,2025,COMPLETED
400022,user097,gaussian_sim_1335,acct07,group02,workq,Hengicluster2025,1,scavenger,/home/user097/gaussian_runs,sbatch gaussian_34.sbatch,1,8,0,32768,8,8,0,32768,n32,1,7200,1,32768,4096,8,8,0,0,3,1763314363,1763315263,1763314461,98,802,6,11,17,6,11,17,2025,FAILED
400024,user042,lammps_sim_9419,acct02,group02,gpuq,Hengicluster2025,3,scavenger,/home/user042/lammps_runs,sbatch lammps_8.sbatch,2,32,0,196608,32,32,0,196608,"n25,n29",2,1200,2,98304,6144,1,32,0,0,0,1763262865,1763265805,1763264045,1180,1760,6,11,3,6,11,4,2025,COMPLETED
400025,user030,gromacs_sim_183,acct10,group05,short,Hengicluster2025,4,high,/home/user030/gromacs_runs,sbatch gromacs_46.sbatch,1,48,0,32768,48,48,0,32768,n56,1,1800,1,32768,683,1,48,0,0,0,1763317029,1763321289,1763319930,2901,1359,6,11,18,6,11,19,2025,COMPLETED
400026,user006,caffe_sim_8481,acct06,group01,workq,Hengicluster2025,5,scavenger,/home/user006/caffe_runs,sbatch caffe_34.sbatch,1,12,0,98304,12,12,0,98304,n38,1,900,1,98304,8192,1,12,60427,1684,4,1763336889,1763338029,1763337110,221,919,6,11,23,0,11,0,2025,COMPLETED
400027,user012,openfoam_sim_9731,acct02,group02,workq,Hengicluster2025,1,normal,/home/user012/openfoam_runs,sbatch openfoam_39.sbatch,2,96,0,262144,96,96,0,262144,"n12,n34",2,7200,2,131072,2731,48,96,60601,490,3,1763301505,1763308405,1763302828,1323,5577,6,11,13,6,11,15,2025,COMPLETED
400029,user041,hpl_sim_7771,acct01,group01,workq,Hengicluster2025,1,normal,/home/user041/hpl_runs,sbatch hpl_6.sbatch,1,64,0,131072,64,64,0,131072,n12,1,900,1,131072,2048,1,64,60744,793,0,1763281226,1763286386,1763281745,519,4641,6,11,8,6,11,9,2025,COMPLETED
400030,user088,wrf_sim_2246,acct08,group03,short,Hengicluster2025,5,high,/home/user088/wrf_runs,sbatch wrf_25.sbatch,1,8,0,262144,8,8,0,262144,n59,1,600,1,262144,32768,1,8,0,0,0,1763295957,1763299617,1763296987,1030,2630,6,11,12,6,11,13,2025,COMPLETED
400031,user073,gadget_sim_7493,acct03,group03,long,Hengicluster2025,3,scavenger,/home/user073/gadget_runs,sbatch gadget_25.sbatch,2,24,0,262144,24,24,0,262144,"n24,n49",2,2700,2,131072,10923,12,24,60398,781,0,1763323777,1763328997,1763328176,4399,821,6,11,20,6,11,21,2025,FAILED
400033,user001,vasp_sim_6000,acct01,group01,workq,Hengicluster2025,4,high,/home/user001/vasp_runs,sbatch vasp_21.sbatch,2,16,0,262144,16,16,0,262144,"n7,n13",2,3600,2,131072,16384,8,16,0,0,1,1763276239,1763282599,1763279835,3596,2764,6,11,6,6,11,8,2025,COMPLETED
400034,user027,gadget_sim_9779,acct07,group02,short,Hengicluster2025,3,high,/home/user027/gadget_runs,sbatch gadget_32.sbatch,2,48,0,65536,48,48,0,65536,"n25,n35",2,3600,2,32768,1365,24,48,60892,991,1,1763314370,1763319650,1763318500,4130,1150,6,11,17,6,11,19,2025,FAILED
400036,user051,hpl_sim_4782,acct01,group01,workq,Hengicluster2025,5,scavenger,/home/user051/hpl_runs,sbatch hpl_37.sbatch,1,4,0,131072,4,4,0,131072,n35,1,3600,1,131072,32768,4,4,60682,2042,0,1763322307,1763325427,1763323129,822,2298,6,11,19,6,11,20,2025,FAILED
400037,user092,mxnet_sim_6524,acct02,group02,short,Hengicluster2025,1,scavenger,/home/user092/mxnet_runs,sbatch mxnet_43.sbatch,1,32,0,131072,32,32,0,131072,n50,1,1200,1,131072,4096,16,32,60161,431,0,1763269974,1763270754,1763269980,6,774,6,11,5,6,11,5,2025,COMPLETED
400038,user099,caffe_sim_99,acct09,group04,workq,Hengicluster2025,5,normal,/home/user099/caffe_runs,sbatch caffe_38.sbatch,1,24,0,65536,24,24,0,65536,n27,1,10800,1,65536,2731,1,24,60591,205,0,1763289195,1763295375,1763294364,5169,1011,6,11,10,6,11,12,2025,COMPLETED
400039,user055,xgboost_sim_8458,acct05,group05,workq,Hengicluster2025,3,normal,/home/user055/xgboost_runs,sbatch xgboost_30.sbatch,1,16,0,131072,16,16,0,131072,n36,1,600,1,131072,8192,16,16,60862,1330,0,1763314659,1763321079,1763315895,1236,5184,6,11,17,6,11,19,2025,COMPLETED
400040,user067,nek5000_sim_9268,acct07,group02,short,Hengicluster2025,5,high,/home/user067/nek5000_runs,sbatch nek5000_17.sbatch,1,16,0,262144,16,16,0,262144,n36,1,7200,1,262144,16384,8,16,60436,1837,0,1763321110,1763323570,1763323083,1973,487,6,11,19,6,11,20,2025,COMPLETED
400041,user091,hpl_sim_3746,acct01,group01,short,Hengicluster2025,1,normal,/home/user091/hpl_runs,sbatch hpl_13.sbatch,1,16,0,262144,16,16,0,262144,n13,1,3600,1,262144,16384,8,16,0,0,1,1763308289,1763312729,1763311408,3119,1321,6,11,15,6,11,17,2025,TIMEOUT
400043,user005,gaussian_sim_8728,acct05,group05,workq,Hengicluster2025,3,normal,/home/user005/gaussian_runs,sbatch gaussian_20.sbatch,2,128,0,262144,128,128,0,262144,"n8,n10",2,2700,2,131072,2048,32,128,0,0,0,1763331581,1763334221,1763332604,1023,1617,6,11,22,6,11,23,2025,FAILED
400044,user037,abinit_sim_3966,acct07,group02,workq,Hengicluster2025,3,high,/home/user037/abinit_runs,sbatch abinit_17.sbatch,1,8,0,65536,8,8,0,65536,n40,1,3600,1,65536,8192,8,8,60959,261,1,1763253589,1763254609,1763254276,687,333,6,11,0,6,11,0,2025,COMPLETED
400045,user025,mxnet_sim_2223,acct05,group05,long,Hengicluster2025,4,scavenger,/home/user025/mxnet_runs,sbatch mxnet_36.sbatch,1,48,0,131072,48,48,0,131072,n5,1,7200,1,131072,2731,1,48,0,0,2,1763304387,1763305647,1763305493,1106,154,6,11,14,6,11,15,2025,COMPLETED
400047,user019,gaussian_sim_8974,acct09,group04,short,Hengicluster2025,3,normal,/home/user019/gaussian_runs,sbatch gaussian_19.sbatch,1,16,0,65536,16,16,0,65536,n20,1,2700,1,65536,4096,1,16,0,0,0,1763319898,1763320558,1763320111,213,447,6,11,19,6,11,19,2025,COMPLETED
400049,user049,mxnet_sim_7109,acct09,group04,workq,Hengicluster2025,5,high,/home/user049/mxnet_runs,sbatch mxnet_36.sbatch,2,24,0,8192,24,24,0,8192,"n38,n31",2,1800,2,4096,341,1,24,60107,591,4,1763314351,1763319211,1763316033,1682,3178,6,11,17,6,11,18,2025,TIMEOUT
400050,user036,nwchem_sim_4228,acct06,group01,workq,Hengicluster2025,3,high,/home/user036/nwchem_runs,sbatch nwchem_37.sbatch,1,16,0,4096,16,16,0,4096,n54,1,2700,1,4096,256,4,16,60827,35,1,1763326273,1763328373,1763327688,1415,685,6,11,20,6,11,21,2025,COMPLETED
400051,user020,nwchem_sim_5137,acct10,group05,workq,Hengicluster2025,1,scavenger,/home/user020/nwchem_runs,sbatch nwchem_22.sbatch,3,6,0,49152,6,6,0,49152,"n8,n58,n17",3,2700,3,16384,8192,1,6,0,0,3,1763257132,1763263792,1763261150,4018,2642,6,11,1,6,11,3,2025,COMPLETED
400052,user082,nek5000_sim_9241,acct02,group02,long,Hengicluster2025,1,high,/home/user082/nek5000_runs,sbatch nek5000_45.sbatch,2,96,0,196608,96,96,0,196608,"n14,n37",2,2700,2,98304,2048,24,96,0,0,0,1763262441,1763267421,1763263625,1184,3796,6,11,3,6,11,4,2025,TIMEOUT
400054,user044,tensorflow_sim_9881,acct04,group04,long,Hengicluster2025,2,scavenger,/home/user044/tensorflow_runs,sbatch tensorflow_5.sbatch,1,4,0,32768,4,4,0,32768,n44,1,3600,1,32768,8192,4,4,60868,491,4,1763269692,1763271972,1763269719,27,2253,6,11,5,6,11,5,2025,COMPLETED
400055,user034,gromacs_sim_5065,acct04,group04,gpuq,Hengicluster2025,4,normal,/home/user034/gromacs_runs,sbatch gromacs_2.sbatch,1,48,1,16384,48,48,1,16384,n39,1,900,1,16384,341,24,48,60603,513,4,1763325948,1763327448,1763327218,1270,230,6,11,20,6,11,21,2025,COMPLETED
400056,user039,quantumespresso_sim_7620,acct09,group04,workq,Hengicluster2025,3,high,/home/user039/quantumespresso_runs,sbatch quantumespresso_36.sbatch,1,64,0,8192,64,64,0,8192,n1,1,3600,1,8192,128,16,64,60986,2046,0,1763322138,1763328978,1763323770,1632,5208,6,11,19,6,11,21,2025,COMPLETED
