job_id,usr_name,job_name,account,group,partition_name,host_name,priority,qos,work_dir,submit_line,nodes_req,cpu_req,gpu_req,mem_req,num_cpu,cpu_alloc,gpu_alloc,mem_alloc,nodelist,node_count,wallclock_req,node_alloc,mem_per_node,mem_per_cpu,ntask,slots,array_job_id,array_pos,freq_req,submit_time,start_time,eligible_time,queue_sec,wait_to_start_sec,submit_dayofweek,submit_month,submit_hour,start_dayofweek,start_month,start_hour,start_year,status
1,user076,LAMMPS_testjob_1,acct06,group01,debug,Hengicluster2025-n057,8937,high,/home/user076/Hengicluster2025/test_job_000001,sbatch -p debug -N 1 -n 12 LAMMPS_testjob_1.sh,1,32,0,64,23,23,0,47.0,Hengicluster2025-n057,1,2541,1,47.0,2.0435,12,12,0,0,0,1763510400,1763510520,120,120,120,2,11,0,2,11,0,2025,RUNNING
2,user084,WRF_testjob_2,acct04,group04,debug,Hengicluster2025-n046,9529,normal,/home/user084/Hengicluster2025/test_job_000002,sbatch -p debug -N 2 -n 37 WRF_testjob_2.sh,2,64,0,128,56,56,0,112.31,"Hengicluster2025-n046,Hengicluster2025-n029",2,6763,2,56.16,2.0056,37,37,0,0,1,1763510700,1763510820,120,120,120,2,11,0,2,11,0,2025,RUNNING
3,user053,CP2K_testjob_3,acct03,group03,short,Hengicluster2025-n012,970,low,/home/user053/Hengicluster2025/test_job_000003,sbatch -p short -N 6 -n 70 CP2K_testjob_3.sh,6,96,0,1536,92,92,0,1483.76,"Hengicluster2025-n012,Hengicluster2025-n054,Hengicluster2025-n008,Hengicluster2025-n026,Hengicluster2025-n043,Hengicluster2025-n014",6,11452,6,247.29,16.1278,70,70,0,0,1,1763511000,1763511120,120,120,120,2,11,0,2,11,0,2025,RUNNING
4,user044,QuantumESPRESSO_testjob_4,acct04,group04,medium,Hengicluster2025-n058,8058,high,/home/user044/Hengicluster2025/test_job_000004,sbatch -p medium -N 3 -n 74 QuantumESPRESSO_testjob_4.sh,3,96,0,96,77,77,0,77.8,"Hengicluster2025-n058,Hengicluster2025-n059,Hengicluster2025-n056",3,28919,3,25.93,1.0104,74,74,0,0,3,1763511300,1763511420,120,120,120,2,11,0,2,11,0,2025,RUNNING
5,user040,QuantumESPRESSO_testjob_5,acct10,group05,medium,Hengicluster2025-n019,4852,express,/home/user040/Hengicluster2025/test_job_000005,sbatch -p medium -N 13 -n 94 QuantumESPRESSO_testjob_5.sh,13,208,0,832,184,184,0,737.69,"Hengicluster2025-n019,Hengicluster2025-n049,Hengicluster2025-n021,Hengicluster2025-n005,Hengicluster2025-n041,Hengicluster2025-n059,Hengicluster2025-n053,Hengicluster2025-n007,Hengicluster2025-n012,Hengicluster2025-n026,Hengicluster2025-n038,Hengicluster2025-n042,Hengicluster2025-n011",13,21931,13,56.75,4.0092,94,94,5,96,1,1763511600,1763511720,120,120,120,2,11,0,2,11,0,2025,RUNNING
6,user083,Gaussian_testjob_6,acct03,group03,debug,Hengicluster2025-n032,4166,normal,/home/user083/Hengicluster2025/test_job_000006,sbatch -p debug -N 1 -n 18 Gaussian_testjob_6.sh,1,32,0,32,23,23,0,23.02,Hengicluster2025-n032,1,4070,1,23.02,1.0011,18,18,0,0,2,1763511900,1763512020,120,120,120,2,11,0,2,11,0,2025,RUNNING
7,user052,PyTorch_testjob_7,acct02,group02,medium,Hengicluster2025-n017,9793,low,/home/user052/Hengicluster2025/test_job_000007,sbatch -p medium -N 16 -n 80 PyTorch_testjob_7.sh,16,128,0,2048,95,95,0,1526.86,"Hengicluster2025-n017,Hengicluster2025-n054,Hengicluster2025-n042,Hengicluster2025-n033,Hengicluster2025-n055,Hengicluster2025-n025,Hengicluster2025-n020,Hengicluster2025-n043,Hengicluster2025-n003,Hengicluster2025-n030,Hengicluster2025-n021,Hengicluster2025-n053,Hengicluster2025-n032,Hengicluster2025-n013,Hengicluster2025-n006,Hengicluster2025-n007",16,12638,16,95.43,16.0722,80,80,0,0,4,1763512200,1763512320,120,120,120,2,11,0,2,11,0,2025,RUNNING
8,user090,NWChem_testjob_8,acct10,group05,medium,Hengicluster2025-n027,768,normal,/home/user090/Hengicluster2025/test_job_000008,sbatch -p medium -N 12 -n 440 NWChem_testjob_8.sh,12,768,0,384,588,588,0,294.47,"Hengicluster2025-n027,Hengicluster2025-n051,Hengicluster2025-n037,Hengicluster2025-n025,Hengicluster2025-n054,Hengicluster2025-n045,Hengicluster2025-n034,Hengicluster2025-n020,Hengicluster2025-n044,Hengicluster2025-n010,Hengicluster2025-n011,Hengicluster2025-n008",12,15931,12,24.54,0.5008,440,440,0,0,3,1763512500,1763512620,120,120,120,2,11,0,2,11,0,2025,RUNNING
9,user065,NAMD_testjob_9,acct05,group05,medium,Hengicluster2025-n012,2287,low,/home/user065/Hengicluster2025/test_job_000009,sbatch -p medium -N 6 -n 47 NAMD_testjob_9.sh,6,96,0,384,74,74,0,299.81,"Hengicluster2025-n012,Hengicluster2025-n021,Hengicluster2025-n047,Hengicluster2025-n029,Hengicluster2025-n026,Hengicluster2025-n033",6,42339,6,49.97,4.0515,47,47,0,0,2,1763512800,1763512920,120,120,120,2,11,0,2,11,0,2025,RUNNING
10,user061,OpenFoam_testjob_10,acct01,group01,medium,Hengicluster2025-n019,3891,express,/home/user061/Hengicluster2025/test_job_000010,sbatch -p medium -N 4 -n 16 OpenFoam_testjob_10.sh,4,32,0,1024,30,30,0,985.26,"Hengicluster2025-n019,Hengicluster2025-n039,Hengicluster2025-n055,Hengicluster2025-n049",4,18415,4,246.32,32.842,16,16,0,0,4,1763513100,1763513220,120,120,120,2,11,0,2,11,0,2025,RUNNING
11,user045,GROMACS_testjob_11,acct05,group05,medium,Hengicluster2025-n049,1488,high,/home/user045/Hengicluster2025/test_job_000011,sbatch -p medium -N 12 -n 77 GROMACS_testjob_11.sh,12,96,0,3072,85,85,0,2726.16,"Hengicluster2025-n049,Hengicluster2025-n045,Hengicluster2025-n050,Hengicluster2025-n021,Hengicluster2025-n018,Hengicluster2025-n011,Hengicluster2025-n048,Hengicluster2025-n029,Hengicluster2025-n012,Hengicluster2025-n032,Hengicluster2025-n022,Hengicluster2025-n047",12,39613,12,227.18,32.0725,77,77,10,68,1,1763513400,1763513520,120,120,120,2,11,0,2,11,0,2025,RUNNING
12,user001,Gaussian_testjob_12,acct01,group01,medium,Hengicluster2025-n012,2505,express,/home/user001/Hengicluster2025/test_job_000012,sbatch -p medium -N 4 -n 31 Gaussian_testjob_12.sh,4,64,0,256,60,60,0,243.47,"Hengicluster2025-n012,Hengicluster2025-n034,Hengicluster2025-n019,Hengicluster2025-n022",4,15058,4,60.87,4.0579,31,31,0,0,0,1763513700,1763513820,120,120,120,2,11,0,2,11,0,2025,RUNNING
13,user006,TensorFlow_testjob_13,acct06,group01,short,Hengicluster2025-n060,5847,high,/home/user006/Hengicluster2025/test_job_000013,sbatch -p short -N 12 -n 207 TensorFlow_testjob_13.sh,12,384,0,1536,297,297,0,1191.44,"Hengicluster2025-n060,Hengicluster2025-n059,Hengicluster2025-n026,Hengicluster2025-n012,Hengicluster2025-n045,Hengicluster2025-n037,Hengicluster2025-n022,Hengicluster2025-n018,Hengicluster2025-n032,Hengicluster2025-n039,Hengicluster2025-n030,Hengicluster2025-n057",12,11912,12,99.29,4.0116,207,207,0,0,3,1763514000,1763514120,120,120,120,2,11,1,2,11,1,2025,RUNNING
14,user075,WRF_testjob_14,acct05,group05,debug,Hengicluster2025-n005,8682,high,/home/user075/Hengicluster2025/test_job_000014,sbatch -p debug -N 3 -n 165 WRF_testjob_14.sh,3,192,0,768,172,172,0,690.95,"Hengicluster2025-n005,Hengicluster2025-n038,Hengicluster2025-n041",3,4703,3,230.32,4.0172,165,165,0,0,3,1763514300,1763514420,120,120,120,2,11,1,2,11,1,2025,RUNNING
15,user058,Gaussian_testjob_15,acct08,group03,debug,Hengicluster2025-n031,1743,high,/home/user058/Hengicluster2025/test_job_000015,sbatch -p debug -N 4 -n 165 Gaussian_testjob_15.sh,4,256,0,2048,185,185,0,1480.56,"Hengicluster2025-n031,Hengicluster2025-n014,Hengicluster2025-n022,Hengicluster2025-n004",4,3529,4,370.14,8.003,165,165,0,0,2,1763514600,1763514720,120,120,120,2,11,1,2,11,1,2025,RUNNING
